material_type,strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,co2_impact_index,cost_efficiency_index,material_suitability_score,predicted_cost_usd,predicted_co2_footprint,shipping_category,material_safety,material_category
Power Bank Model 456,18,3,27,1.46,62,26.58,27.67,22.33,35.36,40.44,Ultra-Light,Safe,Power Bank
Tablet Model 12,60,4,52,1.34,80,17.2,42.52,41.8,66.55,29.73,Ultra-Light,Safe,Tablet
Gaming Console Model 320,12,15,17,0.69,20,33.31,3.1,12.85,65.58,39.89,Ultra-Light,Moderate,Gaming Console
Hard Disk Drive Model 238,10,8,0,1.34,60,34.8,17.5,20.3,33.09,51.67,Ultra-Light,Safe,Hard Disk Drive
Bluetooth Speaker Model 193,32,18,22,2.47,66,28.28,26.25,31.83,61.51,52.08,Ultra-Light,Safe,Bluetooth Speaker
Power Bank Model 14,24,4,100,2.89,6,11.13,9.88,10.47,70.93,21.72,Ultra-Light,Moderate,Power Bank
Bluetooth Speaker Model 143,20,15,78,0.32,63,10.49,26.08,26.45,53.22,10.91,Ultra-Light,Safe,Bluetooth Speaker
Power Bank Model 295,55,9,97,2.78,41,8.47,37.05,31.33,86.68,23.2,Ultra-Light,Moderate,Power Bank
Hard Disk Drive Model 317,57,11,43,2.15,57,22.69,40.5,36.63,81.91,38.02,Ultra-Light,Safe,Hard Disk Drive
Camera DSLR Model 52,55,20,63,0.53,63,15.12,34.33,39.92,87.21,18.22,Ultra-Light,Safe,Camera DSLR
Camera DSLR Model 262,16,6,67,1.42,39,16.85,12.19,16.64,58.47,25.13,Ultra-Light,Moderate,Camera DSLR
Gaming Console Model 89,58,4,63,1.21,24,19.43,25.67,27.12,89.3,26.96,Ultra-Light,Moderate,Gaming Console
Bluetooth Speaker Model 311,25,18,51,1.53,33,22.32,13.71,21.27,82.52,32.63,Ultra-Light,Moderate,Bluetooth Speaker
Power Bank Model 5,52,5,10,1.41,42,33.65,31.27,29.74,75.77,46.03,Ultra-Light,Moderate,Power Bank
Laptop Model 396,32,12,71,2.14,37,16.28,20.84,23.13,67.36,29.31,Ultra-Light,Moderate,Laptop
Smartphone Model 357,10,6,79,2.73,100,7.94,30.77,29.59,18.93,28.61,Ultra-Light,Safe,Smartphone
Hard Disk Drive Model 2,59,3,34,2.6,42,27.16,38.46,31.51,83.53,44.45,Ultra-Light,Moderate,Hard Disk Drive
Laptop Model 483,13,8,21,2.47,74,27.78,26.53,24.68,20.52,50.19,Ultra-Light,Safe,Laptop
Headphones Model 148,53,5,58,2.28,15,22.47,23.83,23.21,97.76,36.41,Ultra-Light,Moderate,Headphones
Laptop Model 407,41,12,13,1.48,70,29.99,35.99,34.63,61.55,46.95,Ultra-Light,Safe,Laptop
Camera DSLR Model 261,59,18,86,2.81,72,8.69,42.67,42.73,79.63,28.35,Ultra-Light,Safe,Camera DSLR
Laptop Model 46,35,12,7,1.31,72,31.49,30.72,33.05,65.71,46.55,Ultra-Light,Safe,Laptop
Smartwatch Model 377,42,15,59,2.81,79,16.09,41.53,37.78,60.64,39.09,Ultra-Light,Safe,Smartwatch
Hard Disk Drive Model 244,42,8,89,2.37,16,13.12,16.34,20.34,82.57,23.38,Ultra-Light,Moderate,Hard Disk Drive
Smartphone Model 432,11,4,66,2.72,30,18.83,11.38,11.94,53.46,34.81,Ultra-Light,Moderate,Smartphone
Power Bank Model 155,27,15,99,1.0,78,3.1,34.97,32.55,54.73,8.28,Ultra-Light,Safe,Power Bank
Bluetooth Speaker Model 348,18,6,11,1.74,92,28.54,33.83,30.54,17.15,49.89,Ultra-Light,Safe,Bluetooth Speaker
Gaming Console Model 13,21,15,52,2.65,71,18.89,24.52,28.45,39.84,42.65,Ultra-Light,Safe,Gaming Console
Smartwatch Model 486,27,3,82,2.78,76,9.47,26.11,28.78,40.54,30.15,Ultra-Light,Safe,Smartwatch
Laptop Model 277,47,6,75,0.93,37,14.36,25.64,27.06,82.76,16.99,Ultra-Light,Moderate,Laptop
Camera DSLR Model 446,59,19,80,0.66,42,12.2,30.29,35.8,100.39,14.75,Ultra-Light,Moderate,Camera DSLR
Bluetooth Speaker Model 467,37,14,92,1.88,65,7.03,28.25,32.42,60.89,19.08,Ultra-Light,Safe,Bluetooth Speaker
Smartwatch Model 142,38,20,51,1.94,93,16.56,42.16,41.26,52.76,33.08,Ultra-Light,Safe,Smartwatch
Laptop Model 21,32,15,90,1.61,84,5.57,37.27,35.71,50.72,16.68,Ultra-Light,Safe,Laptop
Power Bank Model 237,59,6,42,0.77,60,21.86,37.35,37.03,68.97,29.19,Ultra-Light,Safe,Power Bank
Gaming Console Model 52,38,3,57,0.61,54,17.87,29.49,27.46,63.05,20.83,Ultra-Light,Safe,Gaming Console
Laptop Model 135,59,11,57,1.94,43,19.76,34.81,33.86,81.6,32.98,Ultra-Light,Moderate,Laptop
Camera DSLR Model 478,47,16,93,0.32,46,7.69,28.75,31.9,82.74,5.18,Ultra-Light,Moderate,Camera DSLR
Hard Disk Drive Model 199,49,11,76,1.83,42,14.1,26.63,30.13,84.68,24.11,Ultra-Light,Moderate,Hard Disk Drive
Smartwatch Model 355,28,5,27,0.74,98,22.54,44.1,35.44,33.16,34.9,Ultra-Light,Safe,Smartwatch
Smartphone Model 453,29,19,12,0.74,100,26.84,38.13,39.79,48.65,40.28,Ultra-Light,Safe,Smartphone
Tablet Model 381,19,17,61,1.81,68,15.99,25.97,27.63,57.75,29.35,Ultra-Light,Safe,Tablet
Smartwatch Model 328,47,15,53,1.38,59,19.03,35.68,34.74,78.92,29.03,Ultra-Light,Safe,Smartwatch
Bluetooth Speaker Model 366,24,4,94,2.71,10,12.43,10.94,11.49,64.52,23.71,Ultra-Light,Moderate,Bluetooth Speaker
Bluetooth Speaker Model 244,52,4,40,1.59,84,20.55,45.66,39.96,47.55,34.91,Ultra-Light,Safe,Bluetooth Speaker
Headphones Model 488,48,12,57,0.89,21,21.33,25.51,24.92,82.02,23.29,Ultra-Light,Moderate,Headphones
Gaming Console Model 21,23,10,71,0.68,34,15.71,17.85,18.95,68.44,17.41,Ultra-Light,Moderate,Gaming Console
Headphones Model 264,12,18,59,1.3,18,21.28,4.56,13.0,71.46,25.09,Ultra-Light,Moderate,Headphones
Gaming Console Model 412,24,6,85,1.74,75,8.04,30.39,28.39,41.08,22.42,Ultra-Light,Safe,Gaming Console
Headphones Model 16,55,18,86,1.04,72,7.62,41.64,41.59,84.77,14.35,Ultra-Light,Safe,Headphones
Camera DSLR Model 337,45,8,20,1.4,57,29.14,33.0,31.79,74.18,43.46,Ultra-Light,Safe,Camera DSLR
Bluetooth Speaker Model 432,43,6,7,2.56,32,36.24,23.11,24.17,75.56,57.48,Ultra-Light,Moderate,Bluetooth Speaker
Bluetooth Speaker Model 477,28,16,0,2.19,2,41.11,9.0,13.97,99.1,58.15,Ultra-Light,Moderate,Bluetooth Speaker
Hard Disk Drive Model 152,40,7,21,2.08,6,34.35,15.75,16.94,89.27,48.08,Ultra-Light,Moderate,Hard Disk Drive
Smartphone Model 261,40,6,56,2.18,68,17.71,33.78,32.17,66.21,35.38,Ultra-Light,Safe,Smartphone
Smartwatch Model 220,20,17,92,1.45,86,4.67,31.5,32.53,49.15,14.96,Ultra-Light,Safe,Smartwatch
Hard Disk Drive Model 450,20,8,20,1.16,61,28.6,26.24,24.08,44.3,41.24,Ultra-Light,Safe,Hard Disk Drive
Laptop Model 470,13,3,99,2.07,46,6.94,18.82,16.49,36.84,15.91,Ultra-Light,Moderate,Laptop
Bluetooth Speaker Model 356,41,2,51,0.44,60,18.96,33.3,29.78,49.65,22.35,Ultra-Light,Safe,Bluetooth Speaker
Bluetooth Speaker Model 242,57,9,26,2.54,82,25.52,40.27,42.32,69.6,49.05,Ultra-Light,Safe,Bluetooth Speaker
Power Bank Model 285,28,12,19,0.41,87,25.85,33.31,34.49,44.77,35.01,Ultra-Light,Safe,Power Bank
Tablet Model 175,51,9,12,2.93,25,35.66,28.82,25.91,88.43,58.38,Ultra-Light,Moderate,Tablet
Camera DSLR Model 131,11,9,66,1.71,94,11.83,35.33,29.34,29.53,28.37,Ultra-Light,Safe,Camera DSLR
Power Bank Model 385,15,20,63,1.29,82,13.67,24.5,30.56,51.92,24.62,Ultra-Light,Safe,Power Bank
Hard Disk Drive Model 417,55,7,49,1.1,10,24.96,24.0,23.34,93.23,27.02,Ultra-Light,Moderate,Hard Disk Drive
Camera DSLR Model 458,21,11,10,1.55,32,34.73,15.04,17.87,63.94,48.82,Ultra-Light,Moderate,Camera DSLR
Smartwatch Model 466,44,10,29,0.93,27,29.16,22.3,24.51,84.27,36.49,Ultra-Light,Moderate,Smartwatch
Smartphone Model 485,13,16,90,1.44,31,10.76,14.93,16.08,58.3,17.1,Ultra-Light,Moderate,Smartphone
Smartwatch Model 420,47,12,36,2.61,75,23.27,42.62,37.81,67.52,46.49,Ultra-Light,Safe,Smartwatch
Smartwatch Model 256,47,18,66,2.67,99,11.9,43.8,45.3,61.81,35.94,Ultra-Light,Safe,Smartwatch
Smartwatch Model 231,27,13,91,1.45,42,9.37,24.13,22.98,64.7,14.05,Ultra-Light,Moderate,Smartwatch
Hard Disk Drive Model 451,52,3,40,0.84,10,27.5,22.45,21.32,87.05,30.64,Ultra-Light,Moderate,Hard Disk Drive
Hard Disk Drive Model 109,34,6,83,0.54,28,12.62,24.67,20.32,75.59,10.93,Ultra-Light,Moderate,Hard Disk Drive
Tablet Model 265,39,5,73,1.32,76,11.29,40.47,33.7,56.27,20.31,Ultra-Light,Safe,Tablet
Gaming Console Model 118,19,11,11,2.07,82,29.74,33.85,29.59,31.06,52.42,Ultra-Light,Safe,Gaming Console
Camera DSLR Model 492,33,8,11,0.3,81,28.78,35.48,33.75,43.12,36.49,Ultra-Light,Safe,Camera DSLR
Gaming Console Model 476,24,20,90,2.19,22,12.11,10.68,18.57,85.07,21.29,Ultra-Light,Moderate,Gaming Console
Bluetooth Speaker Model 300,55,15,74,1.45,78,10.87,50.89,42.28,69.37,21.17,Ultra-Light,Safe,Bluetooth Speaker
Power Bank Model 56,47,14,34,0.73,43,25.94,31.09,30.59,79.5,31.27,Ultra-Light,Moderate,Power Bank
Bluetooth Speaker Model 297,34,15,100,0.42,52,5.05,26.39,28.59,61.07,5.2,Ultra-Light,Safe,Bluetooth Speaker
Laptop Model 128,14,14,85,0.97,86,6.48,25.63,29.75,29.73,14.31,Ultra-Light,Safe,Laptop
Headphones Model 182,33,14,40,0.51,17,26.61,15.87,19.22,77.73,29.44,Ultra-Light,Moderate,Headphones
Smartwatch Model 292,28,8,94,2.37,18,11.42,18.11,15.94,74.48,21.59,Ultra-Light,Moderate,Smartwatch
Power Bank Model 61,21,17,40,0.72,51,23.33,21.51,24.24,60.74,29.61,Ultra-Light,Safe,Power Bank
Laptop Model 247,29,11,64,2.51,15,20.81,18.53,16.27,82.3,33.47,Ultra-Light,Moderate,Laptop
Smartphone Model 413,24,4,86,2.25,38,11.75,16.25,18.56,59.66,23.6,Ultra-Light,Moderate,Smartphone
Headphones Model 29,43,11,59,2.13,6,22.98,19.9,18.98,96.28,33.81,Ultra-Light,Moderate,Headphones
Hard Disk Drive Model 293,29,13,71,1.35,77,11.81,32.07,32.45,50.22,20.65,Ultra-Light,Safe,Hard Disk Drive
Camera DSLR Model 440,18,8,13,0.84,72,29.4,31.83,26.17,34.92,41.21,Ultra-Light,Safe,Camera DSLR
Laptop Model 110,55,3,22,1.39,81,26.13,42.56,40.04,53.81,42.02,Ultra-Light,Safe,Laptop
Camera DSLR Model 82,40,6,6,1.19,55,33.41,31.9,29.07,56.62,48.09,Ultra-Light,Safe,Camera DSLR
Tablet Model 9,45,7,55,0.68,35,20.41,27.41,26.15,69.73,22.12,Ultra-Light,Moderate,Tablet
Smartphone Model 193,35,9,0,0.98,71,33.49,36.31,32.1,62.04,47.7,Ultra-Light,Safe,Smartphone
Laptop Model 350,33,7,25,2.28,29,30.97,16.24,20.21,72.24,47.9,Ultra-Light,Moderate,Laptop
Bluetooth Speaker Model 315,40,2,1,1.33,51,35.4,33.92,27.05,49.05,50.39,Ultra-Light,Safe,Bluetooth Speaker
Headphones Model 210,47,12,82,2.22,87,8.03,41.97,40.87,65.18,25.19,Ultra-Light,Safe,Headphones
Headphones Model 472,41,6,23,1.39,6,33.33,18.95,17.14,91.94,43.3,Ultra-Light,Moderate,Headphones
Smartwatch Model 18,28,17,61,1.43,23,20.26,12.04,19.59,80.49,28.54,Ultra-Light,Moderate,Smartwatch
Bluetooth Speaker Model 271,43,9,36,2.21,66,23.93,39.01,33.47,61.49,41.52,Ultra-Light,Safe,Bluetooth Speaker
Gaming Console Model 494,44,18,11,2.66,33,35.0,24.42,27.75,95.75,56.27,Ultra-Light,Moderate,Gaming Console
Power Bank Model 37,23,16,48,2.83,50,22.3,20.51,24.13,60.53,44.58,Ultra-Light,Moderate,Power Bank
Hard Disk Drive Model 182,42,15,2,0.49,18,37.89,23.38,22.88,92.37,43.22,Ultra-Light,Moderate,Hard Disk Drive
Laptop Model 211,29,8,17,1.28,83,27.37,32.9,32.71,44.63,43.45,Ultra-Light,Safe,Laptop
Smartwatch Model 479,45,9,100,1.93,87,2.46,43.52,39.46,49.53,16.56,Ultra-Light,Safe,Smartwatch
Smartphone Model 350,49,11,34,1.78,65,24.37,28.7,35.88,66.9,41.19,Ultra-Light,Safe,Smartphone
Power Bank Model 178,34,13,76,2.82,13,17.59,14.2,17.98,79.7,33.17,Ultra-Light,Moderate,Power Bank
Bluetooth Speaker Model 137,22,18,35,0.85,47,25.31,20.15,23.82,63.51,31.93,Ultra-Light,Moderate,Bluetooth Speaker
Tablet Model 447,30,2,87,0.39,55,8.63,32.45,24.69,43.8,7.43,Ultra-Light,Safe,Tablet
Tablet Model 335,56,9,0,1.33,73,33.5,40.94,39.9,65.8,50.22,Ultra-Light,Safe,Tablet
Power Bank Model 474,14,13,13,1.46,88,28.18,30.64,29.93,30.55,47.63,Ultra-Light,Safe,Power Bank
Camera DSLR Model 368,57,10,68,2.77,24,18.86,31.92,28.03,95.12,34.24,Ultra-Light,Moderate,Camera DSLR
Camera DSLR Model 243,47,17,3,1.32,36,36.29,29.47,29.5,88.49,50.09,Ultra-Light,Moderate,Camera DSLR
Tablet Model 8,30,17,1,2.07,69,34.04,31.96,31.69,56.19,57.75,Ultra-Light,Safe,Tablet
Tablet Model 297,22,12,13,1.8,44,32.78,15.23,21.43,60.84,50.46,Ultra-Light,Moderate,Tablet
Power Bank Model 86,28,2,48,0.41,73,18.55,35.64,28.49,41.44,24.56,Ultra-Light,Safe,Power Bank
Camera DSLR Model 386,44,10,91,1.38,5,13.03,19.98,18.94,100.23,13.87,Ultra-Light,Moderate,Camera DSLR
Hard Disk Drive Model 414,16,9,53,1.53,41,20.92,15.49,17.87,61.36,28.84,Ultra-Light,Moderate,Hard Disk Drive
Bluetooth Speaker Model 243,60,16,32,2.91,32,28.95,31.39,32.56,104.32,50.33,Ultra-Light,Moderate,Bluetooth Speaker
Bluetooth Speaker Model 107,41,16,22,0.87,50,28.92,27.9,30.72,68.39,36.77,Ultra-Light,Moderate,Bluetooth Speaker
Gaming Console Model 222,56,15,40,1.8,7,28.38,24.53,24.83,111.73,38.78,Ultra-Light,Moderate,Gaming Console
Gaming Console Model 402,22,9,38,2.35,98,20.21,38.23,34.1,21.51,43.9,Ultra-Light,Safe,Gaming Console
Power Bank Model 226,50,4,12,2.29,11,36.67,24.73,20.91,89.27,53.63,Ultra-Light,Moderate,Power Bank
Laptop Model 376,39,6,39,2.3,91,20.58,47.14,37.56,40.07,41.97,Ultra-Light,Safe,Laptop
Camera DSLR Model 209,21,8,70,1.37,52,14.62,18.69,22.14,56.04,22.51,Ultra-Light,Safe,Camera DSLR
Hard Disk Drive Model 37,38,18,13,2.43,12,36.36,15.28,20.44,98.85,54.0,Ultra-Light,Moderate,Hard Disk Drive
Bluetooth Speaker Model 281,46,14,81,1.82,82,8.59,40.79,39.83,66.3,22.37,Ultra-Light,Safe,Bluetooth Speaker
Smartphone Model 16,38,13,9,1.58,43,33.95,25.9,27.06,71.76,49.35,Ultra-Light,Moderate,Smartphone
Bluetooth Speaker Model 114,56,10,30,1.88,47,27.43,25.15,33.57,80.4,42.08,Ultra-Light,Moderate,Bluetooth Speaker
Bluetooth Speaker Model 279,20,11,33,3.0,95,22.4,32.71,33.05,32.32,51.88,Ultra-Light,Safe,Bluetooth Speaker
Bluetooth Speaker Model 417,42,6,60,2.98,90,14.79,46.22,38.25,48.23,40.68,Ultra-Light,Safe,Bluetooth Speaker
Camera DSLR Model 235,51,11,3,1.17,22,37.6,33.56,25.92,90.05,47.48,Ultra-Light,Moderate,Camera DSLR
Gaming Console Model 490,10,3,48,0.75,64,19.65,25.97,20.14,26.5,25.69,Ultra-Light,Safe,Gaming Console
Smartphone Model 226,55,19,73,1.95,51,14.17,32.95,36.46,93.35,26.56,Ultra-Light,Safe,Smartphone
Smartphone Model 7,14,19,59,1.7,68,16.52,19.51,26.4,46.62,29.84,Ultra-Light,Safe,Smartphone
Smartphone Model 302,33,5,84,2.71,82,8.23,39.29,32.89,45.66,29.02,Ultra-Light,Safe,Smartphone
Laptop Model 391,44,5,73,1.6,82,10.86,41.29,36.91,48.12,23.19,Ultra-Light,Safe,Laptop
Gaming Console Model 134,18,5,86,2.55,45,11.23,15.14,18.42,50.66,27.53,Ultra-Light,Moderate,Gaming Console
Bluetooth Speaker Model 119,33,4,95,2.92,7,12.55,15.18,13.86,73.57,23.61,Ultra-Light,Moderate,Bluetooth Speaker
Camera DSLR Model 443,37,13,22,1.1,31,30.96,26.1,23.78,79.43,39.96,Ultra-Light,Moderate,Camera DSLR
Laptop Model 156,48,13,93,2.74,68,6.94,33.12,36.64,75.18,23.38,Ultra-Light,Safe,Laptop
Headphones Model 444,51,10,67,2.29,78,13.47,35.76,39.51,66.3,32.18,Ultra-Light,Safe,Headphones
Power Bank Model 163,37,5,9,0.35,62,31.31,34.49,29.65,56.52,37.85,Ultra-Light,Safe,Power Bank
Gaming Console Model 133,47,2,31,2.75,36,28.75,23.9,25.54,75.77,47.0,Ultra-Light,Moderate,Gaming Console
Camera DSLR Model 153,35,9,9,1.69,62,32.11,31.11,29.75,63.59,49.68,Ultra-Light,Safe,Camera DSLR
Headphones Model 168,20,19,9,1.35,62,31.91,31.31,27.05,64.86,48.28,Ultra-Light,Safe,Headphones
Laptop Model 137,49,5,100,2.32,89,2.49,46.71,40.3,55.23,18.58,Ultra-Light,Safe,Laptop
Headphones Model 158,18,13,36,1.52,22,27.91,9.18,14.82,61.6,37.87,Ultra-Light,Moderate,Headphones
Camera DSLR Model 269,28,4,11,0.43,67,30.26,30.67,27.49,43.19,37.98,Ultra-Light,Safe,Camera DSLR
Smartphone Model 438,24,15,41,0.96,89,19.38,30.15,34.26,51.41,32.07,Ultra-Light,Safe,Smartphone
Camera DSLR Model 237,20,11,79,2.5,44,13.4,14.74,20.38,62.73,28.72,Ultra-Light,Moderate,Camera DSLR
Gaming Console Model 376,12,2,76,1.17,41,13.8,17.1,14.77,36.35,18.88,Ultra-Light,Moderate,Gaming Console
Bluetooth Speaker Model 244,52,4,45,1.59,84,19.05,50.38,39.96,53.34,34.65,Ultra-Light,Safe,Bluetooth Speaker
Headphones Model 200,58,13,27,1.33,1,32.6,20.89,23.6,108.45,38.58,Ultra-Light,Moderate,Headphones
Power Bank Model 87,30,10,79,1.12,35,13.47,16.32,21.58,63.82,14.87,Ultra-Light,Moderate,Power Bank
Bluetooth Speaker Model 102,39,14,46,2.59,1,27.65,13.56,17.01,93.34,43.15,Ultra-Light,Moderate,Bluetooth Speaker
Laptop Model 192,16,19,25,1.07,24,30.74,8.61,16.19,75.68,37.15,Ultra-Light,Moderate,Laptop
Tablet Model 61,19,11,41,0.93,17,26.56,8.16,13.51,63.59,30.74,Ultra-Light,Moderate,Tablet
Laptop Model 383,35,19,14,1.05,79,28.53,31.35,36.59,58.23,43.59,Ultra-Light,Safe,Laptop
Smartphone Model 70,47,9,66,2.15,0,21.49,13.36,18.38,96.21,29.57,Ultra-Light,Moderate,Smartphone
Headphones Model 50,34,17,24,2.86,34,31.12,17.06,24.22,86.39,52.73,Ultra-Light,Moderate,Headphones
Power Bank Model 49,40,8,100,2.92,40,7.75,22.37,25.56,78.14,24.32,Ultra-Light,Moderate,Power Bank
Camera DSLR Model 256,30,16,85,0.62,61,8.77,26.53,29.66,70.81,9.7,Ultra-Light,Safe,Camera DSLR
Smartwatch Model 449,14,6,64,1.17,77,13.8,24.64,25.47,24.67,23.71,Ultra-Light,Safe,Smartwatch
Bluetooth Speaker Model 30,40,4,10,2.59,10,37.55,19.23,17.11,83.44,56.8,Ultra-Light,Moderate,Bluetooth Speaker
Gaming Console Model 403,44,6,50,1.89,45,21.63,28.71,27.87,76.69,35.94,Ultra-Light,Moderate,Gaming Console
Headphones Model 285,34,9,62,1.34,74,14.8,33.19,32.45,52.44,25.32,Ultra-Light,Safe,Headphones
Tablet Model 292,21,5,26,1.16,80,24.9,34.11,28.43,32.39,39.1,Ultra-Light,Safe,Tablet
Gaming Console Model 172,38,15,33,2.63,6,31.08,15.2,18.16,88.94,48.77,Ultra-Light,Moderate,Gaming Console
Camera DSLR Model 260,36,20,52,2.91,36,22.55,22.52,26.16,83.98,42.73,Ultra-Light,Moderate,Camera DSLR
Bluetooth Speaker Model 475,34,7,9,1.53,0,38.22,8.13,13.42,85.67,49.36,Ultra-Light,Moderate,Bluetooth Speaker
Headphones Model 188,11,16,46,3.0,93,18.7,24.6,30.65,40.21,47.23,Ultra-Light,Safe,Headphones
Headphones Model 467,32,20,62,3.0,32,20.0,15.39,23.75,85.74,37.3,Ultra-Light,Moderate,Headphones
Hard Disk Drive Model 326,24,13,93,2.27,71,6.36,22.49,29.06,46.64,20.73,Ultra-Light,Safe,Hard Disk Drive
Gaming Console Model 282,42,9,40,2.0,5,28.7,14.01,17.9,88.28,39.21,Ultra-Light,Moderate,Gaming Console
Bluetooth Speaker Model 45,26,7,40,2.85,93,20.41,39.12,33.67,26.34,45.62,Ultra-Light,Safe,Bluetooth Speaker
Laptop Model 365,32,12,1,1.7,78,32.92,39.19,33.44,46.19,52.89,Ultra-Light,Safe,Laptop
Hard Disk Drive Model 446,60,5,5,0.34,94,29.3,49.63,45.7,55.68,39.35,Ultra-Light,Safe,Hard Disk Drive
Laptop Model 75,11,9,69,1.24,87,11.34,29.59,27.66,25.54,22.21,Ultra-Light,Safe,Laptop
Laptop Model 205,46,2,15,0.8,45,31.48,26.67,27.73,67.6,40.6,Ultra-Light,Moderate,Laptop
Power Bank Model 68,15,19,48,0.86,52,20.92,16.12,22.87,58.81,28.93,Ultra-Light,Safe,Power Bank
Gaming Console Model 247,56,15,81,1.06,78,8.54,43.43,42.69,73.1,14.33,Ultra-Light,Safe,Gaming Console
Gaming Console Model 370,53,19,93,2.3,66,6.88,42.78,39.46,79.47,21.65,Ultra-Light,Safe,Gaming Console
Hard Disk Drive Model 136,53,12,45,0.35,17,25.01,25.63,25.75,103.83,22.94,Ultra-Light,Moderate,Hard Disk Drive
Tablet Model 7,13,4,85,2.68,50,11.11,26.88,17.65,44.41,27.78,Ultra-Light,Moderate,Tablet
Power Bank Model 256,15,10,54,0.62,39,20.27,19.18,17.41,63.85,23.6,Ultra-Light,Moderate,Power Bank
Power Bank Model 377,43,9,8,0.92,56,32.55,32.7,31.16,70.97,45.35,Ultra-Light,Safe,Power Bank
Laptop Model 436,22,10,34,0.34,75,22.5,34.41,28.9,51.31,29.11,Ultra-Light,Safe,Laptop
Bluetooth Speaker Model 14,46,3,12,2.0,16,36.0,23.1,20.55,72.47,51.36,Ultra-Light,Moderate,Bluetooth Speaker
Bluetooth Speaker Model 365,33,7,100,1.47,25,8.38,17.59,19.33,69.84,12.39,Ultra-Light,Moderate,Bluetooth Speaker
Smartphone Model 498,44,9,76,1.84,61,12.2,34.23,32.62,65.64,25.31,Ultra-Light,Safe,Smartphone
Gaming Console Model 492,13,12,20,0.99,70,27.59,22.58,24.9,42.72,40.27,Ultra-Light,Safe,Gaming Console
Smartwatch Model 214,17,4,82,2.16,49,11.8,21.12,18.88,38.48,24.12,Ultra-Light,Moderate,Smartwatch
Hard Disk Drive Model 328,24,14,28,0.86,85,23.62,25.53,33.02,50.66,34.45,Ultra-Light,Safe,Hard Disk Drive
Tablet Model 83,32,14,47,0.84,4,26.0,6.83,15.57,87.22,28.94,Ultra-Light,Moderate,Tablet
Bluetooth Speaker Model 308,57,16,100,2.06,78,3.44,43.27,43.14,85.57,17.8,Ultra-Light,Safe,Bluetooth Speaker
Laptop Model 299,17,5,52,1.68,95,15.91,31.26,30.7,35.27,30.86,Ultra-Light,Safe,Laptop
Smartphone Model 13,38,7,97,2.61,59,6.57,31.48,29.41,49.02,22.52,Ultra-Light,Safe,Smartphone
Gaming Console Model 164,60,9,66,1.88,10,20.33,22.72,25.47,97.54,27.99,Ultra-Light,Moderate,Gaming Console
Bluetooth Speaker Model 93,34,17,33,2.56,89,22.74,35.66,38.02,50.93,46.34,Ultra-Light,Safe,Bluetooth Speaker
Bluetooth Speaker Model 65,49,8,85,2.2,37,12.12,28.73,28.07,75.84,24.0,Ultra-Light,Moderate,Bluetooth Speaker
Tablet Model 204,19,14,29,0.81,98,21.99,37.78,34.53,32.25,35.49,Ultra-Light,Safe,Tablet
Laptop Model 277,47,7,76,1.05,33,14.53,25.4,26.29,83.53,17.42,Ultra-Light,Moderate,Laptop
Hard Disk Drive Model 207,12,16,2,0.56,88,30.94,29.77,30.12,41.08,42.46,Ultra-Light,Safe,Hard Disk Drive
Laptop Model 25,26,16,42,0.78,51,22.77,20.35,25.73,59.48,28.62,Ultra-Light,Safe,Laptop
Hard Disk Drive Model 267,10,12,98,1.43,67,4.76,21.39,23.04,45.08,11.55,Ultra-Light,Safe,Hard Disk Drive
Tablet Model 81,24,4,42,1.01,14,26.61,8.96,12.75,68.98,31.56,Ultra-Light,Moderate,Tablet
Bluetooth Speaker Model 417,42,6,61,2.98,85,14.99,43.32,37.0,48.73,36.84,Ultra-Light,Safe,Bluetooth Speaker
Smartwatch Model 20,12,4,25,2.85,78,26.41,28.2,24.27,24.46,53.77,Ultra-Light,Safe,Smartwatch
Gaming Console Model 219,45,16,42,0.64,37,24.08,26.21,28.9,88.04,29.75,Ultra-Light,Moderate,Gaming Console
Smartwatch Model 352,12,17,53,2.57,52,20.44,17.88,21.06,46.24,40.14,Ultra-Light,Safe,Smartwatch
Smartphone Model 234,15,7,28,0.32,28,28.99,8.75,13.95,61.51,30.83,Ultra-Light,Moderate,Smartphone
Power Bank Model 236,20,2,27,0.3,52,26.88,19.91,20.45,44.71,30.34,Ultra-Light,Safe,Power Bank
Laptop Model 485,52,19,57,2.27,10,23.26,21.14,25.11,107.09,33.99,Ultra-Light,Moderate,Laptop
Camera DSLR Model 361,29,18,29,1.1,39,28.06,19.7,24.24,69.54,35.44,Ultra-Light,Moderate,Camera DSLR
Camera DSLR Model 28,27,6,16,1.76,21,34.16,12.35,15.94,74.66,47.94,Ultra-Light,Moderate,Camera DSLR
Smartphone Model 7,12,20,61,1.68,70,15.71,25.01,26.45,53.24,29.65,Ultra-Light,Safe,Smartphone
Smartphone Model 340,49,9,84,1.09,58,9.65,38.72,33.74,78.76,15.26,Ultra-Light,Safe,Smartphone
Headphones Model 192,53,7,7,1.96,39,35.18,35.3,29.76,78.43,53.53,Ultra-Light,Moderate,Headphones
Gaming Console Model 393,58,18,35,1.79,51,25.47,36.36,37.28,99.22,40.67,Ultra-Light,Safe,Gaming Console
Laptop Model 260,52,6,46,1.65,31,24.09,24.55,27.2,83.24,34.61,Ultra-Light,Moderate,Laptop
